s     C(s)
0      9.996728e-01
1      6.866206e-01
2      4.747601e-01
3      3.130295e-01
4      2.363829e-01
5      1.507482e-01
6      1.028669e-01
7      8.664405e-02
8      9.823472e-02
9      1.028698e-01
10      1.218619e-01
11      1.601832e-01
12      2.288368e-01
13      3.163047e-01
14      4.632577e-01
15      6.785376e-01
